,filename,P_in,P_rec,N_cal,seed,loss,mean_hem1_ipsi,mean_hem1_contra,mean_hem2_ipsi,mean_hem2_contra,var_hem1_ipsi,var_hem1_contra,var_hem2_ipsi,var_hem2_contra,max_hem1_ipsi,max_hem1_contra,max_hem2_ipsi,max_hem2_contra,nb_hem1_ipsi_pref,nb_hem2_ipsi_pref
0,IpsiContra_In02_Rec05_Col20_s1.npz,0.2,0.5,20,1,0.0118479151278734,-0.0637607350945472,-0.0756600052118301,-0.0700636059045791,-0.0811342000961303,0.1042838990688324,0.1606040000915527,0.0985479354858398,0.1584768295288086,0.1540108919143676,0.4667434394359588,0.218004822731018,0.3614775538444519,6,5
1,IpsiContra_In02_Rec02_Col20_s1.npz,0.2,0.2,20,1,0.010734423995018,-0.0502990111708641,-0.0278219245374202,-0.062637373805046,-0.0419546999037265,0.0622344277799129,0.1664938181638717,0.1027602553367614,0.1751983165740966,0.0805295929312706,0.430895984172821,0.1720583587884903,0.4604755938053131,3,4
2,IpsiContra_In02_Rec05_Col20_s0.npz,0.2,0.5,20,0,0.0104697849601507,-0.0709371417760849,-0.1813439130783081,-0.0043898643925786,-0.073006585240364,0.1049465239048004,0.4113108515739441,0.1123641431331634,0.1684990972280502,0.1761848032474517,1.521390438079834,0.5051330924034119,0.6038461923599243,8,7
3,IpsiContra_In05_Rec07_Col10_s0.npz,0.5,0.7,10,0,0.0100067881867289,-0.0486954972147941,-0.1042731404304504,-0.0540902726352214,-0.0489782132208347,0.2162866741418838,0.2597873210906982,0.0585822835564613,0.313895970582962,0.5311309099197388,0.9603641033172609,0.0515661835670471,0.8532388210296631,7,5
4,IpsiContra_In02_Rec02_Col30_s1.npz,0.2,0.2,30,1,0.0102051431313157,-0.0657811239361763,-0.0611613802611827,-0.0617506690323352,-0.044576458632946,0.1168975234031677,0.19203981757164,0.1308953613042831,0.2155952304601669,0.2491448819637298,0.5439254641532898,0.1586789786815643,0.4410925805568695,4,6
5,IpsiContra_In02_Rec07_Col40_s0.npz,0.2,0.7,40,0,0.010167890228331,-0.1457210928201675,-0.0874752253293991,-0.1633108109235763,-0.0977431088685989,0.1641717106103897,0.2822179794311523,0.1595913469791412,0.224064901471138,0.2192528694868087,1.1055957078933716,0.3977808356285095,0.6169057488441467,3,3
6,IpsiContra_In02_Rec07_Col40_s2.npz,0.2,0.7,40,2,0.0159779619425535,-0.1180393323302269,-0.0855677276849746,-0.0693309158086776,-0.1337093561887741,0.1051802113652229,0.1295454502105713,0.1078541949391365,0.2705832421779632,0.1816214025020599,0.4072005748748779,0.2761348783969879,0.4024065434932709,6,4
7,IpsiContra_In10_Rec02_Col40_s1.npz,1.0,0.2,40,1,0.0110897049307823,-0.0389577858150005,0.0014501363039016,-0.0694793537259101,-0.027607699856162,0.1147987842559814,0.231388047337532,0.1600884646177292,0.2562052607536316,0.2516739666461944,0.6057329773902893,0.2507060170173645,0.8037425875663757,6,5
8,IpsiContra_In07_Rec02_Col30_s0.npz,0.7,0.2,30,0,0.0114143947139382,-0.0548944473266601,-0.0557865425944328,-0.0496622547507286,-0.0985065102577209,0.0880985036492347,0.2275304198265075,0.1274812221527099,0.2376367300748825,0.1202448084950447,0.6069971323013306,0.2456595748662948,0.5729401707649231,7,7
9,IpsiContra_In07_Rec05_Col30_s0.npz,0.7,0.5,30,0,0.0102500533685088,-0.1206629499793052,-0.2258359491825103,-0.0838215574622154,-0.146539956331253,0.1655429005622863,0.3109534382820129,0.1693607717752456,0.3085511326789856,0.2304748296737671,0.5386862754821777,0.5142220258712769,0.5849528312683105,5,4
10,IpsiContra_In07_Rec05_Col30_s1.npz,0.7,0.5,30,1,0.0107870455831289,-0.069740280508995,-0.0887576192617416,-0.2509223520755768,-0.0926433801651001,0.1108652651309967,0.2117455303668975,0.3849189877510071,0.1299001425504684,0.293479323387146,0.440022200345993,1.3251347541809082,0.2365171611309051,5,3
11,IpsiContra_In10_Rec10_Col40_s1.npz,1.0,1.0,40,1,0.0156434420496225,-0.1653807610273361,-0.1801235675811767,-0.1176209226250648,-0.1888061016798019,0.1508941501379013,0.1780418157577514,0.0901330932974815,0.2085114121437072,0.2626968324184418,0.3638814389705658,0.1891992092132568,0.7406112551689148,4,5
12,IpsiContra_In07_Rec02_Col30_s1.npz,0.7,0.2,30,1,0.0097434250637888,-0.0415503568947315,-0.013151335529983,-0.1366550475358963,-0.1192488223314285,0.1541463285684585,0.3142502009868622,0.2119577378034591,0.2672529816627502,0.5918630957603455,0.7723125219345093,0.2674666047096252,0.835746169090271,5,5
13,IpsiContra_In05_Rec02_Col20_s0.npz,0.5,0.2,20,0,0.0120158130303025,-0.0426445379853248,-0.0640294700860977,-0.0572766438126564,-0.0630197077989578,0.1321664303541183,0.4025596082210541,0.1301127821207046,0.3291361927986145,0.3667427897453308,1.154199242591858,0.2965814471244812,0.8169140815734863,6,6
14,IpsiContra_In05_Rec05_Col20_s1.npz,0.5,0.5,20,1,0.0088721988722682,-0.1051221042871475,-0.0077348770573735,-0.106439471244812,-0.0105853471904993,0.1068794652819633,0.3277595937252044,0.0870774984359741,0.1568554192781448,0.1411216706037521,1.260613203048706,0.0635648295283317,0.3811257183551788,5,4
15,IpsiContra_In05_Rec05_Col30_s0.npz,0.5,0.5,30,0,0.0099779665470123,-0.1211935505270958,-0.0718771293759346,-0.0700012519955635,-0.1231269687414169,0.1208619251847267,0.3643364608287811,0.237787976861,0.3190670609474182,0.178633451461792,1.165287971496582,0.8500455617904663,0.7707281708717346,5,7
16,IpsiContra_In05_Rec02_Col30_s1.npz,0.5,0.2,30,1,0.0104431565850973,-0.0679916515946388,-0.0179724991321563,-0.0524887070059776,-0.071687027812004,0.1179238930344581,0.1935131400823593,0.0716209039092063,0.1696664541959762,0.1360427737236023,0.4349225759506225,0.074658878147602,0.3475498259067535,7,6
17,IpsiContra_In05_Rec10_Col10_s0.npz,0.5,1.0,10,0,0.0098305167630314,-0.125029519200325,-0.1290548145771026,-0.0566468946635723,-0.0921172052621841,0.1126153320074081,0.1825470626354217,0.0481611900031566,0.275808036327362,0.2078557610511779,0.5179674625396729,0.0434173159301281,0.8808176517486572,3,3
18,IpsiContra_In05_Rec02_Col10_s1.npz,0.5,0.2,10,1,0.0075228405185043,-0.0366891995072364,0.0129282223060727,-0.0257786214351654,-0.0237630419433116,0.088335245847702,0.2203047275543213,0.129405215382576,0.13685242831707,0.1513166278600692,0.5067967772483826,0.3901236057281494,0.3451265692710876,7,6
19,IpsiContra_In05_Rec02_Col10_s2.npz,0.5,0.2,10,2,0.0158136133104562,-0.1670906990766525,-0.2033098638057708,-0.0165443755686283,0.0547882318496704,0.2474032044410705,0.4204433262348175,0.1788475215435028,0.3261798322200775,0.2349781841039657,0.8174429535865784,0.5786391496658325,0.8155455589294434,3,5
20,IpsiContra_In10_Rec05_Col30_s0.npz,1.0,0.5,30,0,0.0119377952069044,-0.1871697604656219,-0.0382088683545589,-0.1741970628499984,-0.2149194180965423,0.1959854811429977,0.2080029249191284,0.1904033124446869,0.425045907497406,0.2582560181617737,0.4911013841629028,0.1869337111711502,1.102493166923523,4,3
21,IpsiContra_In10_Rec02_Col30_s0.npz,1.0,0.2,30,0,0.0099631752818822,-0.1183074489235878,-0.0642523542046547,-0.0486602857708931,0.0271131694316864,0.304966539144516,0.2764927446842193,0.0847488716244697,0.3404514789581299,0.5960177779197693,0.6981065273284912,0.1810855716466903,0.8045874834060669,5,5
22,IpsiContra_In07_Rec02_Col40_s0.npz,0.7,0.2,40,0,0.0102019235491752,-0.0446859262883663,-0.0528683774173259,-0.0447417832911014,-0.147929236292839,0.0939300805330276,0.2672586739063263,0.1081055477261543,0.2425856441259384,0.11077830940485,0.5285319089889526,0.2336888313293457,0.3220872581005096,5,7
